date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:35	149991/149991	---MCZ	200	added ('OK')	text/html	etag:W/%227eb448c9c87a6b30a706ecfda3460872%22	https://themeforest.net/item/callum-personal-portfolio-react-template/43862814	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/themeforest.net/item/callum-personal-portfolio-react-template/43862814.html	(from )
19:48:37	340/340	---MCZ	200	added ('OK')	text/plain	etag:W/%22645ae0dd-336%22	https://themeforest.net/robots.txt		(from )
19:48:39	111517/111517	---MCZ	200	added ('OK')	application/javascript	etag:W/%227baa082d66863a0e986693c24be770ad%22	https://public-assets.envato-static.com/assets/market/core/datadog-6e0a82e33e89d2ccc3d24ebc9398c846d30049b1335f6d4e7500b311f94439be.js	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/public-assets.envato-static.com/assets/market/core/datadog-6e0a82e33e89d2ccc3d24ebc9398c846d30049b1335f6d4e7500b311f94439be.js	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
19:48:40	80685/80685	---MCZ	200	added ('OK')	application/javascript	etag:W/%22de6c8a0d04709d023d3549a933f61e50%22	https://public-assets.envato-static.com/assets/market/core/rollbar-bfaf1c79ce5359e6718bdde712def50123e5da2474554f90e1e60ad641648ec6.js	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/public-assets.envato-static.com/assets/market/core/rollbar-bfaf1c79ce5359e6718bdde712def50123e5da2474554f90e1e60ad641648ec6.js	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
19:48:41	25131/25131	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20May%202023%2018:06:30%20GMT	https://themeforest.img.customer.envatousercontent.com/files/446989680/preview/preview.__large_preview.jpg?auto=compress%2Cformat&q=80&fit=crop&crop=top&max-h=8000&max-w=590&s=04f9c6b56cd88f718e1907b95bc36150	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/themeforest.img.customer.envatousercontent.com/files/446989680/preview/preview.__large_preview0eb7.jpg	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
19:48:41	56337/56337	---M--	200	added ('OK')	image/png	etag:%22616011db88935edc6a2fef5c746a08c5%22	https://public-assets.envato-static.com/assets/generated_sprites/logos-20f56d7ae7a08da2c6698db678490c591ce302aedb1fcd05d3ad1e1484d3caf9.png	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/public-assets.envato-static.com/assets/generated_sprites/logos-20f56d7ae7a08da2c6698db678490c591ce302aedb1fcd05d3ad1e1484d3caf9.png	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
19:48:41	9797/9797	---M--	200	added ('OK')	image/png	etag:%2264089c65cdcb56ecdfdcccb445fb844c%22	https://public-assets.envato-static.com/assets/generated_sprites/common-5af54247f3a645893af51456ee4c483f6530608e9c15ca4a8ac5a6e994d9a340.png	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/public-assets.envato-static.com/assets/generated_sprites/common-5af54247f3a645893af51456ee4c483f6530608e9c15ca4a8ac5a6e994d9a340.png	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
19:48:41	3056/3056	---M--	200	added ('OK')	image/png	etag:%223305876b2f17da6c9a0d8c1bb60b62db%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
19:48:41	6700/6700	---M--	200	added ('OK')	image/png	etag:%2271bb96fca73f4ae046c5e4860cb86af5%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
19:48:42	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
19:48:42	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
19:48:42	203757/203757	---MCZ	200	added ('OK')	text/css	etag:W/%22c1e382b08b0c1fba43694726712c91f5%22	https://public-assets.envato-static.com/assets/market/core/index-84b1df7c847243ae607f480f1ed55d6b29d251943dc6d0c411adf774d6b01b6a.css	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/public-assets.envato-static.com/assets/market/core/index-84b1df7c847243ae607f480f1ed55d6b29d251943dc6d0c411adf774d6b01b6a.css	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
19:48:42	235685/235685	---MCZ	200	added ('OK')	text/css	etag:W/%22be22b93ee9f76811dc4fdea53becc2c0%22	https://public-assets.envato-static.com/assets/market/pages/default/index-c1ec31cbe7b2ae50beeed162aa8b77d33a525df8d059550f71186d2534bf0774.css	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/public-assets.envato-static.com/assets/market/pages/default/index-c1ec31cbe7b2ae50beeed162aa8b77d33a525df8d059550f71186d2534bf0774.css	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
19:48:43	13256/13256	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254b791f9d2322704e35e3c4fe9863571%22	https://public-assets.envato-static.com/assets/market/core/head-1a1964adfe7b3397d7ca350551eb4d538950c83f6f127d7d9283f6161a30e565.js	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/public-assets.envato-static.com/assets/market/core/head-1a1964adfe7b3397d7ca350551eb4d538950c83f6f127d7d9283f6161a30e565.js	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
19:48:43	68/68	---M--	200	added ('OK')	image/png	etag:%22978c1bee49d7ad5fc1a4d81099b13e18%22	https://public-assets.envato-static.com/assets/common/transparent-1px-1f61547480c17dc67dd9a6c38545a5911cc4a8024f6f3c0992e7c1c81fb37578.png	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/public-assets.envato-static.com/assets/common/transparent-1px-1f61547480c17dc67dd9a6c38545a5911cc4a8024f6f3c0992e7c1c81fb37578.png	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
19:48:43	190374/190374	---M--	200	added ('OK')	image/jpeg	etag:%220373f1099c4b01cabb70c046c37d7f93%22	https://public-assets.envato-static.com/assets/header/items-collage-ca34048d7b4c10945a5a4a8d60c14d7cce1429ed7a80c86a6c8fc7ee4566c102.jpg	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/public-assets.envato-static.com/assets/header/items-collage-ca34048d7b4c10945a5a4a8d60c14d7cce1429ed7a80c86a6c8fc7ee4566c102.jpg	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
19:48:44	130762/130762	---MCZ	200	added ('OK')	text/html	etag:W/%22ef12e76d08b91ce7f5cef615d8b4a39b%22	https://themeforest.net/item/callum-personal-portfolio-react-template/reviews/43862814	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/themeforest.net/item/callum-personal-portfolio-react-template/reviews/43862814.html	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
19:48:45	137753/137753	---MCZ	200	added ('OK')	text/html	etag:W/%2256e4ce4369acefd5d00102079273601a%22	https://themeforest.net/item/callum-personal-portfolio-react-template/43862814/comments	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/themeforest.net/item/callum-personal-portfolio-react-template/43862814/comments.html	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
19:48:47	130926/130926	---MCZ	200	added ('OK')	text/html	etag:W/%220823fc47e67773b392013889d2d91b52%22	https://themeforest.net/item/callum-personal-portfolio-react-template/43862814/support	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/themeforest.net/item/callum-personal-portfolio-react-template/43862814/support.html	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
19:48:47	4361/4361	---M--	200	added ('OK')	image/png	etag:%22774e780c17b822cd93cbd552935d17b1%22	https://s3.envato.com/files/446989679/thumb.png	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/s3.envato.com/files/446989679/thumb.png	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
19:48:48	172/172	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20May%202023%2014:18:57%20GMT	https://themeforest.net/item/callum-personal-portfolio-react-template/full_screen_preview/43862814	C:/Users/akshay%20p/Desktop/web%20designing%20sample/day%201/callum/themeforest.net/item/callum-personal-portfolio-react-template/full_screen_preview/43862814	(from https://themeforest.net/item/callum-personal-portfolio-react-template/43862814)
